gubun,mem_id,cor_id,cit_id,cde_id,cde_price,cor_datetime
akbonara,1223153,abnr20161118139,1013,1298,500,2016-11-18 00:00:00
akbonara,1198375,abnr2016111814,6243,8247,500,2016-11-18 00:00:00
akbonara,1234833,abnr20161118142,6886,9036,1000,2016-11-18 00:00:00
akbonara,1235096,abnr20161118143,16007,8517,500,2016-11-18 00:00:00
akbonara,1076375,abnr20161118146,3802,5133,1000,2016-11-18 00:00:00
akbonara,1152582,abnr2016111815,4805,2114,1000,2016-11-18 00:00:00
akbonara,1193998,abnr20161118154,1261,1614,1000,2016-11-18 00:00:00
akbonara,1177500,abnr20161118156,4497,6116,500,2016-11-18 00:00:00
akbonara,1177500,abnr20161118157,16913,5709,500,2016-11-18 00:00:00
akbonara,1215892,abnr20161118161,7332,9337,1000,2016-11-18 00:00:00
akbonara,1210331,abnr20161118164,6724,8874,700,2016-11-18 00:00:00
akbonara,1210331,abnr20161118166,6562,8712,700,2016-11-18 00:00:00
akbonara,1210331,abnr20161118170,7239,9389,1000,2016-11-18 00:00:00
akbonara,1210331,abnr20161118175,6685,8835,700,2016-11-18 00:00:00
akbonara,1123475,abnr20161118177,3779,5091,900,2016-11-18 00:00:00
akbonara,1233864,abnr2016111818,5032,6844,500,2016-11-18 00:00:00
akbonara,1235816,abnr20161118182,6950,9100,900,2016-11-18 00:00:00
akbonara,1203232,abnr20161118185,4501,6124,500,2016-11-18 00:00:00
akbonara,1167952,abnr20161118186,6752,8902,700,2016-11-18 00:00:00
akbonara,1167952,abnr20161118187,6256,8266,500,2016-11-18 00:00:00
akbonara,1167952,abnr20161118188,17000,4945,1000,2016-11-18 00:00:00
akbonara,1235822,abnr20161118189,6243,8247,500,2016-11-18 00:00:00
akbonara,1235756,abnr2016111819,8654,12321,3000,2016-11-18 00:00:00
akbonara,1235822,abnr20161118190,17086,7822,500,2016-11-18 00:00:00
akbonara,1226960,abnr2016111822,6660,8810,700,2016-11-18 00:00:00
akbonara,1216704,abnr2016111826,3599,4772,1000,2016-11-18 00:00:00
akbonara,1234262,abnr2016111829,4703,6393,500,2016-11-18 00:00:00
akbonara,1235764,abnr2016111834,6962,9112,1000,2016-11-18 00:00:00
akbonara,1230539,abnr2016111839,4941,6740,500,2016-11-18 00:00:00
